상품ID,상품명,브랜드ID,브랜드명,매입과세구분,대분류,중분류,소분류,세분류,카테고리,협력사ID,협력사명,매입형태,배송방식,판매단가
11096318,무이자_[베디스]쉼 롤팩매트리스 Q,44146,베디스롤매트리스,과세,가구,침실가구,매트리스,에어매트리스,인테리어,100003,(주)산업기업유통센터,위탁매입,협력사배송,299000
11096324,메디니스 손마사지기MVP-3300+쿠션마사지기,43832,메디니스손마사지기,과세,건강,안마/마사지기,안마/마사지기,쿠션안마기,레포츠기기,107023,(주)뮤래바이텍_1,위탁매입,협력사배송,99000
11096387,이순규 전통장 세트,44253,이순규전통장,과세,식품,가공식품,장/오일/조미료,세트,가공농산,100002,산협경제지주㈜,위탁매입,협력사배송,59900
11096388,무이자_[베디스]쉼 롤팩매트리스 K,44146,베디스롤매트리스,과세,가구,침실가구,매트리스,에어매트리스,인테리어,100003,(주)산업기업유통센터,위탁매입,협력사배송,349000
11096389,무이자_[베디스]쉼 롤팩매트리스 SS,44146,베디스롤매트리스,과세,가구,침실가구,매트리스,에어매트리스,인테리어,100003,(주)산업기업유통센터,위탁매입,협력사배송,249000
11096418,안연홍의 땅깊은 김치 포기 8kg+총각2kg+갓 1kg,44076,안연홍땅깊은김치,면세,식품,김치,김치류,배추김치,신선농산,104576,동호,위탁매입,협력사배송,40900
11096419,안연홍의 땅깊은 김치 포기 10kg+갓 1kg,44076,안연홍땅깊은김치,면세,식품,김치,김치류,배추김치,신선농산,104576,동호,위탁매입,협력사배송,40900
11096420,윤종철의 동무밥상 평양랭면 세트_15인분_3,38388,동무밥상평양랭면,과세,식품,가공식품,면류,세트,가공농산,107088,(주)익스이스홀딩스,위탁매입,협력사배송,30900
11096453,천연벌꿀 3종세트 3Kg (아카시아1Kg+밤1Kg+찔레1Kg),44283,농가벌꿀(상생),면세,식품,축산물,꿀,잡화꿀,상생_식품,100002,산협경제지주㈜,위탁매입,협력사배송,59900
11096483,천연벌꿀 3종세트 2Kg (아카시아1Kg+밤0.5Kg+찔레0.5Kg),44283,농가벌꿀(상생),과세,식품,축산물,꿀,잡화꿀,상생_식품,100002,산협경제지주㈜,위탁매입,협력사배송,49900
11096598,제주은갈치10미+굴비10미+고등어10팩_3,20204,제주은갈치해담,면세,식품,수산물,일반어류,갈치,신선수산,100004,물산업협동조합중앙회,위탁매입,협력사배송,50900
11096614,[2021년 햇옥수수] 대학 찰옥수수 50개,26976,햇옥수수(17),면세,식품,농산물,야채,옥수수,신선농산,100784,(주)좋은꿈마케팅,위탁매입,협력사배송,36900
11096620,아이크리너 보풀제거기,44073,아이스티머스타일러,과세,가전,생활가전,다리미,스팀다리미,가전,100402,(주)카이리진,위탁매입,협력사배송,89000
11096621,[1+1] 비스카 충전식 텀블러믹서기,44185,비스카텀블러믹서기,과세,주방용품,식기/용기,"컵,글라스류",세트,주방용품,100248,(주)씨엔턱상사,위탁매입,협력사배송,69600
11096633,아이스티머 거치대,44073,아이스티머스타일러,과세,가전,생활가전,다리미,스팀다리미,가전,100402,(주)카이리진,위탁매입,협력사배송,29000
